fullVisitorId,weekend_prop,hour,totals.hits,totals.pageviews,bounce_prop,channelGrouping,device.browser,device.deviceCategory,device.operatingSystem
193361951439999580,0.0,22.0,14.0,13.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.6666666666666666,21.0,14.0,11.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,14.0,12.5,10.5,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,20.0,22.0,20.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,17.0,9.5,9.5,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,20.0,28.0,22.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,15.0,35.0,31.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,16.0,17.5,17.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,12.0,15.0,13.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,12.5,8.0,8.0,0.5,Direct,Chrome,desktop,Windows
193361951439999580,0.0,13.0,26.0,23.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,12.0,5.0,5.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,1.0,20.0,9.5,9.5,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.6666666666666666,2.0,15.0,14.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,10.0,13.0,10.5,0.125,Direct,Chrome,desktop,Windows
193361951439999580,0.0,3.0,15.5,15.0,0.5,Direct,Chrome,desktop,Windows
193361951439999580,0.5,2.5,16.5,13.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.375,17.0,3.0,3.0,0.25,Direct,Chrome,desktop,Windows
193361951439999580,0.1428571428571428,2.0,3.0,3.0,0.5,Direct,Chrome,desktop,Windows
193361951439999580,0.1875,16.0,3.0,3.0,0.5,Direct,Chrome,desktop,Windows
193361951439999580,0.0,20.5,19.5,16.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,14.0,7.0,7.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,2.0,42.0,37.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,17.5,8.5,8.5,0.25,Direct,Chrome,desktop,Windows
193361951439999580,0.0,21.0,4.0,4.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.3333333333333333,5.0,5.0,5.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,15.0,29.0,21.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,15.0,43.0,35.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.25,17.5,15.5,13.5,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,17.5,9.0,8.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,17.5,8.0,6.5,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,19.5,21.0,16.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,7.0,45.0,36.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,18.0,35.0,21.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,19.0,16.0,13.0,0.0,Direct,Chrome,desktop,Windows
193361951439999580,0.0,18.0,12.0,9.0,0.0,Direct,Chrome,desktop,Windows
